,ppl,merry,unmerry,money,lostjob,jobfight,PM,violent
41,-10312,27768,9677,24987,3.7,5052,46.77,59770
42,-9386,18730,5486,6080,3.8,5185,38.37,48735
43,36668,15436,5596,-20805,3.9,3828,54.88,26896
44,14367,19225,6369,16660,3.8,3846,51.29,35386
45,-181,11606,3846,15103,3.8,2423,64.55,35075
46,-2035,17581,6389,33608,3.8,5078,63.22,37824
47,-364,2760,978,88985,3.9,418,46.32,8805
48,2347,3506,1354,-105458,3.7,1306,58.87,8370
49,-4229,3670,1270,-91843,3.8,554,48.34,8284
50,-5677,8004,2485,-13855,3.7,967,64.61,17644
51,-3616,2906,1092,-40791,3.8,161,60.12,8639
52,-3843,3739,1441,11539,3.8,260,61.3,9750
53,-2575,2782,1064,101336,3.8,265,44.57,7626
54,-3816,4725,1888,37137,3.8,617,65.72,12863
55,-1202,1285,576,-73568,3.7,58,39.43,4078
56,-864,2131,914,64093,3.7,349,32.82,6820
57,573,601,255,-139998,3.7,42,43.76,1169
58,-582,2310,938,115073,3.9,396,45.27,7251
59,-335,2901,986,-149225,3.9,416,63.47,7586
60,-717,1559,608,-51958,3.5,390,65.95,4841
61,-4780,27885,9858,17393,3.9,5792,55.24,62754
62,3952,19167,5532,30404,4,5878,39.83,51569
